,STATE,STCOFIPS,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXP_A,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_N,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,HRCN_RISK_CATEGORY_QUANTILE,ZIP,3ZIP
0,Alabama,01001,13.0,0.0804503641016,610.47050844,9121107511.38,58748.6682605,681484551822.0,24496911.193,690630156245.0,0.001205786,4.35e-07,0.023593616,Relatively Low,845784.363782,0.00196713872131,22818.8091671,46789.8972834,915393.070233,66.364029399,Relatively Low,9.2706234352e-05,3.3475235e-08,0.00190094665984,64.6779074795,1014607.5138,67.6536563481,Relatively Low,Relatively High,36066,360
1,Alabama,01003,50.0,0.248233295866,1674.84395508,45968062243.5,231362.821627,2683808730870.0,138075523.831,2729914868640.0,0.015218106,9.48e-06,0.04539033,Very High,173682570.105,0.545468972231,6327440.07788,1566622.07444,181576632.258,99.0056204064,Relatively High,0.00377829660384,2.357612311e-06,0.0113450160908,94.682230869,189532002.641,98.8784208165,Relatively High,Very High,36502,365
2,Alabama,01005,21.0,0.11639834031,913.64651118,4847697294.0,25160.0,291856000000.0,121075758.0,296824773052.0,0.002859156,6.45e-07,0.028158432,Relatively High,1525046.20758,0.00180823067898,20975.4758762,434225.072841,1980246.75629,72.8058798098,Relatively Low,0.000314591880451,7.1869264e-08,0.00358639152886,78.8153912668,3079796.2039,77.1646478241,Relatively Low,Relatively High,36016,360
3,Alabama,01007,11.0,0.0667239391134,632.4867978,3146946680.0,22239.0,257972400000.0,4819356.0,261124166036.0,0.000864286,2.08e-07,0.007597301,Relatively Low,177511.612931,0.000301772739656,3500.56378,2442.44904809,183454.625759,49.0704712495,Very Low,5.6407569298e-05,1.3569528e-08,0.000506799881165,59.4466061392,222610.97895,51.0991475998,Very Low,Relatively Moderate,35042,350
4,Alabama,01009,6.0,0.0392382122849,657.19655469,7815387179.52,58989.0601649,684273097913.0,277656866.825,692366141960.0,0.000604823,1.22e-07,0.005205228,Relatively Low,189251.144923,0.000287583560213,3335.96929847,55331.1693991,247918.28362,52.3994811933,Very Low,2.4214474767e-05,4.874959e-09,0.000198625116775,49.6325118893,301012.060144,54.0152534769,Very Low,Relatively Moderate,35097,350
5,Alabama,01011,20.0,0.1237576222,631.45451226,1578438328.0,10326.0,119781600000.0,77062428.4132,121437100756.0,0.002634462,5.71e-07,0.025862105,Relatively Moderate,523901.042524,0.000742834178068,8616.87646558,246885.478504,779403.397494,64.7211413748,Relatively Low,0.000331910999138,7.1938231e-08,0.00320214877605,79.2477302205,1058106.94235,68.1920143562,Relatively Low,Relatively High,36089,360
6,Alabama,01013,17.0,0.124739961407,785.73446055,3448026841.78,19015.0,220574000000.0,151442073.0,224173468915.0,0.006540293,1.31e-06,0.030311128,Relatively High,2838438.20774,0.0031242636105,36241.4578818,564867.46425,3439547.12987,77.5183744055,Relatively Low,0.000823130743808,1.64305212e-07,0.00372992427441,84.2628620839,4249437.52486,80.2602063706,Relatively Low,Very High,36037,360
7,Alabama,01015,5.0,0.0406642056254,618.45514341,22653308211.4,115928.715524,1344773100080.0,99276862.7234,1367525685150.0,0.000960028,2.7e-07,0.014516514,Relatively Low,978211.464047,0.00137323231277,15929.4948281,58291.209183,1052432.16806,67.9204496325,Relatively Low,4.3109160705e-05,1.1812751e-08,0.000585472044928,56.6364029399,1271868.85543,69.8968147151,Relatively Low,Relatively High,36250,362
8,Alabama,01017,15.0,0.0889288553461,609.20234739,5993382264.38,34736.01268,402937747088.0,10396882.0,408941526234.0,0.00156971,3.75e-07,0.029254759,Relatively Moderate,871143.754111,0.00120407963439,13967.3237589,27206.5552529,912317.633123,66.2775616083,Relatively Low,0.000145348296926,3.4661743e-08,0.00261679946477,71.0332900994,1275348.06003,70.0314042171,Relatively Low,Relatively High,36801,368
9,Alabama,01019,5.0,0.0320731445502,606.03334623,4433990605.0,24933.0,289222800000.0,173748453.373,293830539058.0,0.001296751,2e-07,0.012306203,Relatively Moderate,174379.038313,0.000152940669106,1774.11176163,67403.0454235,243556.195498,52.2265456118,Very Low,3.9327787054e-05,6.134066e-09,0.000386427957455,55.4690877648,277295.434012,53.2077164648,Very Low,Relatively Moderate,35960,359
10,Alabama,01021,13.0,0.0755707825945,707.86207089,6711359991.0,44999.0,521988400000.0,16608927.4026,528716368918.0,0.000888016,2.16e-07,0.007818158,Relatively Low,437305.920864,0.00071351730004,8276.80068047,9945.17396764,455527.895512,58.9277993947,Very Low,6.5159061867e-05,1.5856292e-08,0.000598478499149,60.8733246866,586761.650086,61.6419919246,Very Low,Relatively High,35040,350
11,Alabama,01023,26.0,0.147449734014,930.15561678,6245033878.0,12632.0,146531200000.0,9476878.0,152785710756.0,0.006776267,1.38e-06,0.031448506,Very High,5975765.68225,0.00251479967461,29171.6762255,43238.5394802,6048175.89796,82.3605706874,Relatively Low,0.000956882828659,1.99081672e-07,0.00456252992601,86.2948551665,8433354.64271,85.9578286227,Relatively Moderate,Very High,36910,369
12,Alabama,01025,34.0,0.180922692766,1265.21927025,4122628794.53,23036.9498336,267228618070.0,3303779.0,271354550643.0,0.008050867,1.79e-06,0.037597958,Relatively High,6387870.3691,0.0079285038848,91970.6450637,20369.8999342,6500210.9141,82.9226113273,Relatively Low,0.00154942673212,3.44148966e-07,0.00616563636193,88.5430177259,9483555.91303,86.5859129655,Relatively Moderate,Very High,36540,365
13,Alabama,01027,8.0,0.0625509561246,612.11944638,2550755534.0,14212.0,164859200000.0,93281315.0,167503236849.0,0.00177306,3.18e-07,0.017098751,Relatively Moderate,273775.677698,0.000276323325372,3205.35057432,98335.9848876,375317.01316,56.5499351492,Very Low,0.000107331209929,1.9442958e-08,0.00105418737812,66.0613921314,482118.174124,59.4885598923,Very Low,Relatively Moderate,35160,351
14,Alabama,01029,7.0,0.0481474239428,566.6772813,2154092124.32,15039.9011668,174462853535.0,134634466.434,176751580126.0,0.001549511,2.6e-07,0.01484256,Relatively Moderate,164575.358964,0.000193476378613,2244.32599192,108423.534123,275243.219079,53.4370946822,Very Low,7.6400612982e-05,1.2864121e-08,0.000804836765229,62.9485516645,328681.670037,55.0471063257,Very Low,Relatively Moderate,36207,362
15,Alabama,01031,19.0,0.15715148516,687.36451563,22308956997.3,53390.081603,619324946594.0,228866524.0,641862770116.0,0.00579423,1.52e-06,0.051377047,Very High,22006988.7594,0.013831560826,160446.105582,1926707.37202,24094142.237,92.7799394725,Relatively Moderate,0.000986440484125,2.59061655e-07,0.00841847614211,87.0298313878,29542832.5072,93.7640197398,Relatively Moderate,Very High,36453,364
16,Alabama,01033,6.0,0.0319641305314,629.81203974,11966821321.5,57001.2848633,661214904415.0,67409725.1893,673249135461.0,0.000754777,1.89e-07,0.011269736,Relatively Low,263351.702257,0.000310943933823,3606.94963235,22682.9501806,289641.602069,54.3450064851,Very Low,2.1955189673e-05,5.442458e-09,0.000328540631715,48.8543017726,324624.444389,54.957379991,Very Low,Relatively Moderate,35653,356
17,Alabama,01035,30.0,0.157847986709,861.36955008,2165551908.0,11582.0,134351200000.0,24123427.0,136540875335.0,0.007438346,1.59e-06,0.03464191,Relatively High,2659563.44708,0.0030204445787,35037.157113,133550.272853,2828150.87704,75.5728491137,Relatively Low,0.00122812269577,2.60787824e-07,0.00553612357202,87.4189364462,3820288.46088,79.2283535218,Relatively Low,Relatively High,36502,365
18,Alabama,01037,10.0,0.0655367471432,673.07686524,1954999287.0,10320.0,119712000000.0,1958970.0,121668958257.0,0.001609293,3.89e-07,0.030018855,Relatively Moderate,205182.903138,0.000260994431431,3027.5354046,3813.2345894,212023.673132,50.9295287505,Very Low,0.000104952929908,2.5290158e-08,0.00194655078403,65.6722870731,258246.911343,52.3553162853,Very Low,Relatively Moderate,35089,350
19,Alabama,01039,33.0,0.183478505592,1054.31055951,6767470876.18,37519.0,435220400000.0,145105900.0,442132976776.0,0.019339655,7.03e-06,0.036464129,Very High,24227957.5803,0.0488067197869,566157.949528,976755.77413,25770871.304,93.3419801124,Relatively Moderate,0.00358002640605,1.300853429e-06,0.00673133052571,94.2931258106,32597703.0154,94.0780619112,Relatively Moderate,Very High,36453,364
20,Alabama,01041,16.0,0.11780943229,617.11311675,2563554879.0,13179.0,152876400000.0,189077193.0,155629032072.0,0.006671695,1.35e-06,0.030944413,Very High,2025070.48587,0.00208719764102,24211.4926358,706260.093113,2755542.07162,75.2269779507,Relatively Low,0.000789946219784,1.5837299e-07,0.00373530028612,83.8737570255,3483062.95776,78.331090175,Relatively Low,Relatively High,36037,360
21,Alabama,01043,4.0,0.0357400815764,762.64340763,14609360752.5,87608.7145833,1016261089170.0,539694865.426,1031410144780.0,0.001165408,2.41e-07,0.021463467,Relatively Moderate,597160.238537,0.000741123673984,8597.03461821,405093.988971,1010851.26213,67.4881106788,Relatively Low,4.0863509498e-05,8.454525e-09,0.000750311927635,59.0142671855,1183430.83491,69.4930462091,Relatively Low,Relatively High,35621,356
22,Alabama,01045,24.0,0.158026703845,568.35772695,8848890653.03,49223.0728697,570987645289.0,197257929.15,580033793871.0,0.005610594,1.45e-06,0.049721196,Relatively High,8051644.19025,0.0117439133282,136229.394607,1584417.54187,9772291.12673,85.8192823173,Relatively Moderate,0.000909892335094,2.38581044e-07,0.00802901959745,86.7271941202,12849773.5351,88.5598923284,Relatively Moderate,Very High,36353,363
23,Alabama,01047,15.0,0.085720322636,1003.87731054,6955171250.34,38335.0556652,444686645717.0,73395648.0,451715212615.0,0.002138635,5.92e-07,0.040234767,Relatively Moderate,1258363.29975,0.00191429095191,22205.7750422,252392.344663,1532961.41946,70.8603545179,Relatively Low,0.000180912899222,4.9928039e-08,0.00343879169325,74.2325983571,2091287.30831,74.3382682817,Relatively Low,Relatively High,36749,367
24,Alabama,01049,4.0,0.0284495581696,786.52368522,12342314361.0,71379.0,827996400000.0,656554852.754,840995269214.0,0.001210419,1.8e-07,0.011444312,Relatively Moderate,433362.385491,0.00037639103574,4366.13601459,223200.939734,660929.46124,62.9917855599,Relatively Low,3.5111922514e-05,5.273134e-09,0.000339460075318,54.4747081712,875745.404861,66.0834454913,Relatively Low,Relatively High,35963,359
25,Alabama,01051,14.0,0.0799203333475,663.67343913,12510093283.5,87745.545802,1017848331300.0,31548071.5251,1030389972660.0,0.001161035,4.11e-07,0.02268205,Relatively Low,1143167.92546,0.00281230977812,32622.7934262,58612.5932709,1234403.31216,69.2607003891,Relatively Low,9.1373371468e-05,3.2047288e-08,0.00185148895552,64.2455685257,1288194.43211,70.2108568865,Relatively Low,Relatively High,36066,360
26,Alabama,01053,38.0,0.197773037548,962.76181872,6867415097.0,36706.0,425789600000.0,35523028.2761,432692538125.0,0.020392824,7.62e-06,0.038543914,Very High,30306930.1948,0.0608022163821,705305.710032,284615.892263,31296851.7971,94.5092952875,Relatively Moderate,0.00441314960094,1.656465329e-06,0.00801214502037,97.3627323822,43912948.8282,95.4688200987,Relatively Moderate,Very High,36502,365
27,Alabama,01055,6.0,0.0354364039004,554.1664986,19000417241.7,103319.65329,1198507978170.0,107152987.042,1217615548400.0,0.000877841,2.36e-07,0.013212783,Relatively Low,586195.746963,0.000858127869973,9954.28329169,50124.8859134,646274.916168,62.9053177691,Relatively Low,3.0851678781e-05,8.305535e-09,0.000467710625722,53.2641591007,740914.276804,64.064602961,Relatively Low,Relatively High,35121,351
28,Alabama,01057,8.0,0.0496966002802,635.70941265,3058922404.0,16298.0,189056800000.0,28228393.0,192143950797.0,0.001700753,2.99e-07,0.016367856,Relatively Moderate,277458.3477,0.000249587263847,2895.21226063,22311.3609365,302664.920897,54.8205793342,Very Low,9.0704604778e-05,1.5313981e-08,0.000790387215331,63.6402939905,417714.639825,57.6940331987,Very Low,Relatively Moderate,35554,355
29,Alabama,01059,5.0,0.0319053650886,653.04927831,5616452625.39,31973.8313407,370896443552.0,159169045.828,376672065224.0,0.001291516,1.99e-07,0.012253864,Relatively Moderate,212846.242908,0.000178394104611,2069.37161349,54554.3755547,269469.990076,53.17769131,Very Low,3.7867336028e-05,5.57499e-09,0.000341267873893,54.6908776481,344945.200694,55.9443696725,Very Low,Relatively Moderate,35571,355
30,Alabama,01061,29.0,0.182834124817,584.79557799,4613103350.0,26621.0,308803600000.0,157812938.589,313574516289.0,0.00495473,1.68e-06,0.036443815,Relatively High,4159999.51765,0.00821788319129,95327.4450189,1059597.81955,5314924.78222,81.4958927799,Relatively Low,0.000901778954866,3.08699267e-07,0.00671426236552,86.5110246433,6952988.99983,84.6119336025,Relatively Low,Very High,36453,364
31,Alabama,01063,12.0,0.0764645165363,666.58729722,1339905207.0,7714.0,89482400000.0,29755425.0,90852060632.0,0.002401586,4.98e-07,0.02348539,Relatively Moderate,254772.779874,0.000302742199201,3511.80951073,55751.3656622,314035.955047,55.2096843926,Very Low,0.000190142391076,3.9245813e-08,0.00187365381816,73.411154345,485338.396213,59.6231493943,Very Low,Relatively Moderate,35448,354
32,Alabama,01065,11.0,0.0769252927064,663.12887901,2427858045.0,14753.0,171134800000.0,72800287.0,173635458332.0,0.001554422,5.51e-07,0.024036042,Relatively Moderate,286656.437434,0.000619003957888,7180.4459115,138899.408258,432736.291604,58.4522265456,Very Low,0.000118069686168,4.1957836e-08,0.00190795138291,69.5201037613,646936.181065,62.5841184388,Very Low,Relatively High,36756,367
33,Alabama,01067,26.0,0.153365243965,574.04624589,3227198309.57,17073.9337502,198057631503.0,140973247.0,201425803059.0,0.004158582,1.29e-06,0.03040388,Relatively High,2187065.71661,0.00362333811475,42030.722131,675010.98801,2904107.42675,75.8754863813,Relatively Low,0.000677695648791,2.12213782e-07,0.00478822047711,83.8305231301,3432588.58694,78.1516375056,Relatively Low,Relatively High,36016,360
