Year,Month,MEI
1979,Jan,0.47
1979,Feb,0.27
1979,Mar,-0.04
1979,Apr,0.26
1979,May,0.35
1979,Jun,-0.14
1979,Jul,-0.13
1979,Aug,0.5
1979,Sep,0.42
1979,Oct,0.28
1979,Nov,0.58
1979,Dec,0.68
1980,Jan,0.42
1980,Feb,0.3
1980,Mar,0.52
1980,Apr,0.85
1980,May,0.71
1980,Jun,0.55
1980,Jul,0.52
1980,Aug,0.13
1980,Sep,0.19
1980,Oct,0.06
1980,Nov,-0.09
1980,Dec,-0.09
1981,Jan,-0.28
1981,Feb,-0.19
1981,Mar,0.16
1981,Apr,0.15
1981,May,-0.38
1981,Jun,-0.63
1981,Jul,-0.51
1981,Aug,-0.25
1981,Sep,0.03
1981,Oct,-0.05
1981,Nov,-0.16
1981,Dec,-0.18
1982,Jan,-0.44
1982,Feb,-0.61
1982,Mar,-0.31
1982,Apr,0.13
1982,May,0.66
1982,Jun,1.42
1982,Jul,1.87
1982,Aug,1.93
1982,Sep,1.74
1982,Oct,1.87
1982,Nov,2.25
1982,Dec,2.45
1983,Jan,2.59
1983,Feb,2.73
1983,Mar,2.71
1983,Apr,2.74
1983,May,2.6
1983,Jun,1.58
1983,Jul,0.88
1983,Aug,0.03
1983,Sep,-0.41
1983,Oct,-0.44
1983,Nov,-0.42
1983,Dec,-0.44
1984,Jan,-0.38
1984,Feb,-0.36
1984,Mar,-0.06
1984,Apr,-0.06
1984,May,-0.78
1984,Jun,-0.75
1984,Jul,-0.23
1984,Aug,-0.02
1984,Sep,-0.06
1984,Oct,-0.01
1984,Nov,-0.59
1984,Dec,-0.32
1985,Jan,-0.31
1985,Feb,-0.57
1985,Mar,-0.51
1985,Apr,-0.68
1985,May,-1.04
1985,Jun,-0.24
1985,Jul,-0.02
1985,Aug,-0.36
1985,Sep,-0.35
1985,Oct,0.05
1985,Nov,0.11
1985,Dec,-0.36
1986,Jan,-0.42
1986,Feb,-0.33
1986,Mar,-0.37
1986,Apr,-0.3
1986,May,0.24
1986,Jun,0.61
1986,Jul,0.77
1986,Aug,1.24
1986,Sep,1.38
1986,Oct,0.57
1986,Nov,0.73
1986,Dec,1.07
1987,Jan,0.96
1987,Feb,1.12
1987,Mar,1.49
1987,Apr,1.62
1987,May,1.85
1987,Jun,1.78
1987,Jul,1.74
1987,Aug,1.49
1987,Sep,1.18
1987,Oct,1.05
1987,Nov,0.89
1987,Dec,0.86
1988,Jan,0.64
1988,Feb,0.39
1988,Mar,0.27
1988,Apr,-0.13
1988,May,-0.59
1988,Jun,-1.35
1988,Jul,-1.77
1988,Aug,-1.82
1988,Sep,-1.8
1988,Oct,-1.53
1988,Nov,-1.65
1988,Dec,-1.56
1989,Jan,-1.15
1989,Feb,-1.14
1989,Mar,-1.26
1989,Apr,-1.09
1989,May,-0.98
1989,Jun,-1.04
1989,Jul,-1.11
1989,Aug,-0.74
1989,Sep,-0.6
1989,Oct,-0.59
1989,Nov,-0.35
1989,Dec,-0.14
1990,Jan,0.13
1990,Feb,0.4
1990,Mar,0.47
1990,Apr,0.12
1990,May,0.07
1990,Jun,0.15
1990,Jul,0.27
1990,Aug,0.11
1990,Sep,0.26
1990,Oct,-0.06
1990,Nov,0.07
1990,Dec,0.26
1991,Jan,0.13
1991,Feb,0.04
1991,Mar,0.21
1991,Apr,0.49
1991,May,0.74
1991,Jun,1.07
1991,Jul,0.85
1991,Aug,0.41
1991,Sep,0.65
1991,Oct,1.17
1991,Nov,1.14
1991,Dec,1.23
1992,Jan,1.63
1992,Feb,1.51
1992,Mar,1.69
1992,Apr,2.0
1992,May,1.71
1992,Jun,1.66
1992,Jul,0.82
1992,Aug,0.13
1992,Sep,0.56
1992,Oct,0.95
1992,Nov,0.84
1992,Dec,0.77
1993,Jan,0.91
1993,Feb,1.0
1993,Mar,0.85
1993,Apr,1.05
1993,May,1.4
1993,Jun,1.11
1993,Jul,0.73
1993,Aug,0.57
1993,Sep,0.63
1993,Oct,0.93
1993,Nov,0.72
1993,Dec,0.27
1994,Jan,0.06
1994,Feb,-0.09
1994,Mar,-0.02
1994,Apr,0.19
1994,May,0.17
1994,Jun,0.4
1994,Jul,0.93
1994,Aug,0.86
1994,Sep,1.03
1994,Oct,1.52
1994,Nov,0.93
1994,Dec,0.8
1995,Jan,0.75
1995,Feb,0.53
1995,Mar,0.21
1995,Apr,0.34
1995,May,0.39
1995,Jun,-0.08
1995,Jul,-0.27
1995,Aug,-0.59
1995,Sep,-0.78
1995,Oct,-0.57
1995,Nov,-0.62
1995,Dec,-0.85
1996,Jan,-0.78
1996,Feb,-0.71
1996,Mar,-0.63
1996,Apr,-0.78
1996,May,-0.93
1996,Jun,-0.7
1996,Jul,-0.59
1996,Aug,-0.5
1996,Sep,-0.18
1996,Oct,-0.29
1996,Nov,-0.18
1996,Dec,-0.46
1997,Jan,-0.83
1997,Feb,-0.89
1997,Mar,-0.41
1997,Apr,0.39
